Nume,Link
"Laptop Apple MacBook Pro 13-inch, cu procesor Apple M2, 8 nuclee CPU si 10 nuclee GPU, 8 GB, 512GB SSD, Space Grey, Layout INT",https://www.emag.ro/laptop-apple-macbook-pro-13-inch-cu-procesor-apple-m2-8-nuclee-cpu-si-10-nuclee-gpu-8-gb-512gb-ssd-space-grey-layout-int-mnej3ze-a/pd/DF36H4MBM/
"Laptop HP Pavilion 15-eh2007nq cu procesor AMD Ryzen™ 5 5625U pana la 4.30 GHz, 15.6 FHD, 16GB DDR4, 512GB PCIe SSD, AMD Radeon Integrated Graphics, Windows 11 Home, Fog Blue",https://www.emag.ro/laptop-hp-pavilion-15-eh2007nq-cu-procesor-amd-ryzentm-5-5625u-pana-la-4-30-ghz-15-6-fhd-16gb-ddr4-512gb-pcie-ssd-amd-radeon-integrated-graphics-windows-11-home-fog-blue-6m355ea/pd/DD5QPZMBM/
"Laptop Gaming Lenovo IdeaPad 3 15ACH6 cu procesor AMD Ryzen™ 5 5600H pana la 4.20 GHz, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ach6-cu-procesor-amd-ryzentm-5-5600h-pana-la-4-20-ghz-15-6-full-hd-ips-8gb-512gb-ssd-nvidia-geforce-gtx-1650-4gb-no-os-shadow-black-82k2007brm/pd/D7YGGPMBM/
"Laptop Gaming Lenovo IdeaPad 3 15ACH6 cu procesor AMD Ryzen™ 7 5800H pana la 4.40 GHz, 15.6"", Full HD, IPS, 16GB, 512GB SSD, NVIDIA GeForce RTX 3050 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ach6-cu-procesor-amd-ryzentm-7-5800h-pana-la-4-40-ghz-15-6-full-hd-ips-16gb-512gb-ssd-nvidia-geforce-rtx-3050-4gb-no-os-shadow-black-82k201sfrm/pd/DHP2W4MBM/
"Laptop Gaming ASUS ROG Strix G15 G513RC cu procesor AMD Ryzen™ 7 6800H, 15.6"", Full HD, 144Hz, 8GB RAM DDR5, 512GB SSD, NVIDIA® GeForce RTX™ 3050 4GB, No OS, Eclipse Gray",https://www.emag.ro/laptop-gaming-asus-rog-strix-g15-g513rc-cu-procesor-amd-ryzentm-7-6800h-15-6-full-hd-144hz-8gb-ram-ddr5-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-no-os-eclipse-gray-g513rc-hn038/pd/DFNBDJMBM/
"Laptop ultraportabil Lenovo ThinkPad T14 Gen 3 cu procesor Intel® Core™ i7-1260P pana la 4.70 GHz, 14"", WUXGA, IPS, 32GB, 1TB SSD, NVIDIA GeForce MX550 2GB, Windows 11 Pro, Thunder Black",https://www.emag.ro/laptop-ultraportabil-lenovo-thinkpad-t14-gen-3-cu-procesor-intelr-coretm-i7-1260p-pana-la-4-70-ghz-14-wuxga-ips-32gb-1tb-ssd-nvidia-geforce-mx550-2gb-windows-11-pro-thunder-black-21ah008lri/pd/DSXYWCMBM/
"Laptop ASUS ExpertBook L1500CDA cu procesor AMD Ryzen 3 3250U, 15.6'', Full HD, 8GB, 512GB SSD, AMD Radeon Graphics, No OS, Star Black",https://www.emag.ro/laptop-asus-expertbook-l1500cda-cu-procesor-amd-ryzen-3-3250u-15-6-full-hd-8gb-512gb-ssd-amd-radeon-graphics-no-os-star-black-l1500cda-bq0518/pd/DCY9Z9MBM/
"Laptop Lenovo ThinkBook 15 G3 ACL cu procesor AMD Ryzen™ 5 5500U pana la 4.0 GHz, 15.6"", Full HD, IPS, 16GB, 512GB SSD, AMD Radeon™ Graphics, Windows 10 Pro, Mineral Grey",https://www.emag.ro/laptop-lenovo-thinkbook-15-g3-acl-cu-procesor-amd-ryzentm-5-5500u-pana-la-4-0-ghz-15-6-full-hd-ips-16gb-512gb-ssd-amd-radeontm-graphics-windows-10-pro-mineral-grey-21a4002erm/pd/D12MRJMBM/
"Laptop ASUS X515MA-EJ450, Intel Celeron Dual Core N4020, 15.6inch, RAM 8GB, SSD 256GB, Intel UHD Graphics 600, No OS, Slate Grey",https://www.emag.ro/laptop-asus-intel-celeron-dual-core-n4020-15-6inch-ram-8gb-ssd-256gb-intel-uhd-graphics-600-no-os-slate-grey-x515ma-ej450/pd/D1V5XZMBM/
"Laptop ultraportabil Lenovo Yoga Slim 7 13ACN5 cu procesor AMD Ryzen™ 5 5600U pana la 4.3 GHz, 13.3"", 2.5K, IPS, 8GB, 512GB SSD, AMD Radeon Graphics, Windows 11 Home, Light Silver, 3y on-site Premium Care",https://www.emag.ro/laptop-ultraportabil-lenovo-yoga-slim-7-13acn5-cu-procesor-amd-ryzentm-5-5600u-pana-la-4-3-ghz-13-3-2-5k-ips-8gb-512gb-ssd-amd-radeon-graphics-windows-11-home-light-silver-3y-on-site-premium-care-82cy/pd/D8J12XMBM/
