Nume,Link
"Laptop Apple 13.6'' MacBook Air 13 with Liquid Retina, Apple M2 chip (8-core CPU), 8GB, 256GB SSD, Apple M2 8-core GPU, macOS Monterey, Starlight, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/136-macbook-air-13-with-liquid-retina-apple-m2-chip-8-core-cpu-8gb-256gb-ssd-apple-m2-8-core-gpu-macos-monterey-starlight-int-keyboard-2022/
"Laptop Lenovo 14'' ThinkPad L14 Gen 3, FHD IPS, Procesor Intel® Core™ i7-1255U (12M Cache, up to 4.70 GHz), 16GB DDR4, 512GB SSD, Intel Iris Xe, Win 11 DG Win 10 Pro, Thunder Black",https://www.pcgarage.ro/notebook-laptop/lenovo/14-thinkpad-l14-gen-3-fhd-ips-procesor-intel-core-i7-1255u-12m-cache-up-to-470-ghz-16gb-ddr4-512gb-ssd-intel-iris-xe-win-11-dg-win-10-pro-thunder-black/
"Laptop Lenovo Gaming 15.6'' Legion 5 15ARH7H, FHD IPS 144Hz, Procesor AMD Ryzen™ 5 6600H (16M Cache, up to 4.5 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3060 6GB, No OS, Cloud Grey, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-legion-5-15arh7h-fhd-ips-144hz-procesor-amd-ryzen-5-6600h-16m-cache-up-to-45-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3060-6gb-no-os-cloud-grey/
"Laptop ASUS Gaming 14'' ROG Zephyrus G14 GA402RJ, FHD+ 144Hz, Procesor AMD Ryzen™ 7 6800HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, Radeon RX 6700S 8GB, No OS, Eclipse Gray",https://www.pcgarage.ro/notebook-laptop/asus/gaming-14-rog-zephyrus-g14-ga402rj-fhd-plus-144hz-procesor-amd-ryzen-7-6800hs-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-radeon-rx-6700s-8gb-no-os-eclipse-gray/
"Laptop MSI Gaming 15.6'' Pulse GL66 12UEK, QHD 165Hz, Procesor Intel® Core™ i5-12500H (18M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 3060 6GB, Free DOS, Titanium Gray",https://www.pcgarage.ro/notebook-laptop/msi/gaming-156-pulse-gl66-12uek-qhd-165hz-procesor-intel-core-i5-12500h-18m-cache-up-to-450-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-3060-6gb-free-dos-titanium-gray/
"Laptop HP Gaming 16.1'' OMEN 16-b0005nq, FHD IPS 144Hz, Procesor Intel® Core™ i7-11800H (24M Cache, up to 4.60 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 3060 6GB, Free DOS, Shadow Black",https://www.pcgarage.ro/notebook-laptop/hp/gaming-161-omen-16-b0005nq-fhd-ips-144hz-procesor-intel-core-i7-11800h-24m-cache-up-to-460-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-3060-6gb-free-dos-shadow-black/
"Laptop ASUS Gaming 14'' ROG Zephyrus G14 GA402RJ, FHD+ 144Hz, Procesor AMD Ryzen™ 7 6800HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, Radeon RX 6700S 8GB, Win 11 Home, Eclipse Gray AniMe Matrix",https://www.pcgarage.ro/notebook-laptop/asus/gaming-14-rog-zephyrus-g14-ga402rj-fhd-plus-144hz-procesor-amd-ryzen-7-6800hs-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-radeon-rx-6700s-8gb-win-11-home-eclipse-gray-anime-matrix/
"Laptop Lenovo Gaming 16'' Legion 5 Pro 16ARH7H, WQXGA IPS 165Hz G-Sync, Procesor AMD Ryzen™ 7 6800H (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3060 6GB, No OS, Storm Grey, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-16-legion-5-pro-16arh7h-wqxga-ips-165hz-g-sync-procesor-amd-ryzen-7-6800h-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3060-6gb-no-os-storm-grey/
"Laptop Apple 13.6'' MacBook Air 13 with Liquid Retina, Apple M2 chip (8-core CPU), 8GB, 512GB SSD, Apple M2 10-core GPU, macOS Monterey, Midnight, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/136-macbook-air-13-with-liquid-retina-apple-m2-chip-8-core-cpu-8gb-512gb-ssd-apple-m2-10-core-gpu-macos-monterey-midnight-int-keyboard-2022/
"Laptop Apple 13.6'' MacBook Air 13 with Liquid Retina, Apple M2 chip (8-core CPU), 8GB, 512GB SSD, Apple M2 10-core GPU, macOS Monterey, Starlight, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/136-macbook-air-13-with-liquid-retina-apple-m2-chip-8-core-cpu-8gb-512gb-ssd-apple-m2-10-core-gpu-macos-monterey-starlight-int-keyboard-2022/
